lon,lat,v17_reach_id,v16_reach_id,boundary_flag,boundary_percent,dominant reach,v16 number of reaches
-98.8205200222784,57.038172443825026,71181300423,71181301193,0,0,0,0
-98.87097138283647,57.0691958122511,71181300433,71181301203,0,0,0,0
-98.91007013189993,57.08484926010733,71181300443,71181301213,0,0,0,0
-98.0897669424176,57.67083862539801,71181300556,71181301226,0,0,0,0
-97.52081759740092,57.317684950005905,71181300756,71181301236,0,0,0,0
-97.48274600415043,57.176643025710874,71181300736,71181301246,0,0,0,0
-97.24000175782079,57.42361092372797,71181300806,71181301256,0,0,0,0
-98.60968616535567,57.47148434108343,71181300676,71181301266,0,0,0,0
-98.57668891002001,57.62328998033661,71181300656,71181301276,0,0,0,0
-98.1735216308033,57.603919187842614,71181300616,71181301286,0,0,0,0
-98.87314106934777,57.2655804885161,71181300486,71181301296,0,0,0,0
-98.88686087850915,56.961797841859,71181300596,71181301306,0,0,0,0
-98.90637690185534,57.10465845352996,71181300456,71181301316,0,0,0,0
-99.35937282963988,55.92668682345558,71181400183,71181400013,0,0,0,0
-99.30625990458668,55.93859707064637,71181400213,71181400023,0,0,0,0
-99.33647500336477,55.97520756588054,71181400173,71181400033,0,0,0,0
-99.33273623683483,56.05021392769251,71181400163,71181400043,0,0,0,0
-99.48800005268282,56.12745986000675,71181400123,71181400063,0,0,0,0
-99.44604970794602,56.09697605418267,71181400131,71181400071,0,0,0,0
-99.41157197408408,56.088609567151416,71181400143,71181400083,0,0,0,0
-99.37153972850243,56.08699323236482,71181400151,71181400091,0,0,0,0
-99.57862870513432,56.17255079107776,71181400113,71181400103,0,0,0,0
-99.54970204757907,56.20710582287834,71181400343,71181400113,0,0,0,0
-99.5127524727397,56.2106676200039,71181400353,71181400123,0,0,0,0
-99.45577923814743,56.212282695258295,71181400361,71181400131,0,0,0,0
-99.43265152585927,56.20454955505727,71181400373,71181400143,0,0,0,0
-99.55117704226176,56.24204608714647,71181400093,71181400153,0,0,0,0
-99.42057472779447,56.40414909687695,71181400073,71181400163,0,0,0,0
-99.54518349166416,56.33159779221556,71181400083,71181400173,0,0,0,0
-99.45897898930285,56.280409951465785,71181400443,71181400183,0,0,0,0
-99.23953168636905,56.48094257451507,71181400053,71181400193,0,0,0,0
-99.06280657446314,56.556985015488685,71181400483,71181400203,0,0,0,0
-98.99861741596125,56.548015778670994,71181400493,71181400213,0,0,0,0
-99.33226833511758,56.42469806618559,71181400061,71181400221,0,0,0,0
-99.32462323296491,56.37090986705764,71181400463,71181400233,0,0,0,0
-99.1671503877579,56.56197906313186,71181400043,71181400243,0,0,0,0
-99.08397448585568,56.64043388369804,71181400033,71181400253,0,0,0,0
-98.98038341546314,56.74574966574391,71181400023,71181400263,0,0,0,0
-98.92045948823119,56.823845778935414,71181400013,71181400273,0,0,0,0
-98.91069653058159,56.69300105578678,71181400513,71181400283,0,0,0,0
-98.7770766123979,56.71626699928365,71181400523,71181400293,0,0,0,0
-99.35508848368538,56.21140033606679,71181400383,71181400303,0,0,0,0
-99.24781982082146,55.91849060309539,71181400243,71181400313,0,0,0,0
-99.43145264995424,56.175942394120135,71181400403,71181400323,0,0,0,0
-99.61986120250056,56.14918439375567,71181400263,71181400333,0,0,0,0
-99.67422283680888,56.15131123411654,71181400273,71181400343,0,0,0,0
-99.7026945991952,56.141853134777165,71181400281,71181400351,0,0,0,0
-99.73882932802813,56.17268342656556,71181400323,71181400363,0,0,0,0
-99.71451285132443,56.12857738838904,71181400291,71181400371,0,0,0,0
-99.8300377157291,56.09655043901664,71181400303,71181400383,0,0,0,0
-98.81803245624049,56.65104887225948,71181400543,71181400393,0,0,0,0
-99.18796012190302,55.95920338698939,71181400223,71181400403,0,0,0,0
-99.60979608355574,56.19796296892874,71181400423,71181400413,0,0,0,0
-99.36339609362756,56.29707813451633,71181400456,71181400426,0,0,0,0
-98.98617527760253,56.54699483794923,71181400506,71181400436,0,0,0,0
-99.32296095524855,56.335610616831424,71181400476,71181400446,0,0,0,0
-98.73104272646054,56.76455448442822,71181400536,71181400456,0,0,0,0
-99.29549241937691,56.22913490438794,71181400396,71181400466,0,0,0,0
-99.21669892373237,55.89971995903469,71181400256,71181400476,0,0,0,0
-99.44104910512196,56.15074599463875,71181400416,71181400486,0,0,0,0
-99.78131496041182,56.196908482035745,71181400336,71181400496,0,0,0,0
-99.96185099437925,56.1048316442323,71181400316,71181400506,0,0,0,0
-98.76459664476104,56.63485296347199,71181400556,71181400516,0,0,0,0
-99.13030816180839,56.00968353290477,71181400236,71181400526,0,0,0,0
-99.641813737849,56.20602210333569,71181400436,71181400536,0,0,0,0
-98.9390474793532,56.876425714374754,71181500023,71181500013,0,0,0,0
-98.86060924715011,56.8813653046371,71181500013,71181500023,0,0,0,0
-98.99998777527111,56.89611560356157,71181500033,71181500033,0,0,0,0
-98.98163915726228,56.86308044501151,71181500443,71181500043,0,0,0,0
-99.02753442327092,56.92547021241866,71181500423,71181500053,0,0,0,0
-99.08111673856241,56.906653213297005,71181500043,71181500063,0,0,0,0
-99.10236702041703,56.94847353547792,71181500363,71181500073,0,0,0,0
-99.07400300961923,56.99606203470431,71181500373,71181500083,0,0,0,0
-99.35674331255876,56.92658139952206,71181500141,71181500091,0,0,0,0
-99.29660924844661,56.867580107199316,71181500113,71181500103,0,0,0,0
-99.3252067845213,56.81563151122461,71181500093,71181500123,0,0,0,0
-99.500223820423,56.76950128532382,71181500103,71181500133,0,0,0,0
-99.0226178414772,57.057529091337784,71181500383,71181500143,0,0,0,0
-99.34755874073552,56.91596150669047,71181500131,71181500151,0,0,0,0
-99.33116867129051,56.899431134755645,71181500121,71181500161,0,0,0,0
-99.14762954632619,57.173408221379766,71181500253,71181500173,0,0,0,0
-99.12381272240745,57.155567641521394,71181500243,71181500183,0,0,0,0
-99.11972357855096,57.10438373695448,71181500273,71181500193,0,0,0,0
