node_id,wse_ref_raw,wse_mad,width_med,n_obs,dist_out_km,river,wse_ref
81340100050411,1.69019,0.606855,410.42127949999997,98,71.47919626661184,Noatak,1.72442
81340100050421,1.7334049999999999,0.5810749999999999,445.38108850000003,104,71.67574196144504,Noatak,1.72656
81340100050431,1.74259,0.62904,389.450887,105,71.88699521967337,Noatak,1.72656
81340100060011,1.70347,0.6270850000000001,380.443153,100,72.09854571401874,Noatak,1.72656
81340100060021,1.74493,0.62782,324.653729,93,72.27978989662415,Noatak,1.72656
81340100060031,1.79399,0.7008999999999999,262.570955,91,72.47574164118,Noatak,1.72656
81340100060041,1.72442,0.65046,254.184544,91,72.68580665906492,Noatak,1.732395
81340100060051,1.732395,0.63161,292.3562245,88,72.88175856467281,Noatak,1.7334049999999999
81340100060061,1.76286,0.5938800000000002,235.086116,87,73.08322542104891,Noatak,1.74259
81340100060071,1.772035,0.574215,281.34401049999997,86,73.28298143443635,Noatak,1.74493
81340100060081,1.70485,0.5607599999999999,260.626949,85,73.46654967667007,Noatak,1.762645
81340100060091,1.72656,0.5702050000000001,263.927766,82,73.67276743150428,Noatak,1.76286
81340100060101,1.72173,0.5627800000000001,372.745632,83,73.88474329549922,Noatak,1.772035
81340100060111,1.77353,0.64082,374.711793,85,74.09078531514174,Noatak,1.77267
81340100060121,1.78483,0.6261399999999999,360.160392,78,74.29501047895815,Noatak,1.77353
81340100060131,1.77912,0.71404,342.678683,83,74.49562572569789,Noatak,1.77912
81340100060141,1.7805,0.63242,367.587068,85,74.69058267512735,Noatak,1.7805
81340100060151,1.828085,0.6465900000000001,362.9747575,88,74.88993218512441,Noatak,1.78483
81340100060161,1.762645,0.65967,378.5023405,96,75.10029101797969,Noatak,1.78483
81340100060171,1.77267,0.6266150000000001,471.1263935,102,75.29009668769751,Noatak,1.828085
81340100060181,1.86226,0.6424099999999999,431.061361,103,75.47856454008291,Noatak,1.86226
81340100060191,2.01834,0.6473800000000001,537.277744,97,75.68185509056369,Noatak,1.972855
81340100060201,2.07513,0.5159799999999999,461.213538,85,75.89595500309187,Noatak,1.98419
81340100060211,2.0042,0.5403,495.554695,79,76.10115374363386,Noatak,1.99325
81340100060221,2.15496,0.5893799999999998,596.877821,89,76.30090309978262,Noatak,2.0042
81340100060231,1.972855,0.64465,723.0312885000001,94,76.50955360096245,Noatak,2.009615
81340100060241,2.07412,0.6459400000000002,539.295516,93,76.71016854394931,Noatak,2.01411
81340100060251,2.05534,0.6302950000000002,368.113122,90,76.90944574620991,Noatak,2.01495
81340100060261,1.99325,0.6431600000000002,376.224475,83,77.09829285279288,Noatak,2.01834
81340100060271,2.01495,0.6263850000000002,359.2629515,84,77.2871399982874,Noatak,2.028715
81340100060281,2.01411,0.6546599999999998,386.727387,82,77.48909286704695,Noatak,2.0493050000000004
81340100060291,2.0493050000000004,0.674515,391.410265,82,77.69372132913422,Noatak,2.05534
81340100060301,2.13537,0.5909,383.143941,87,77.89701205418976,Noatak,2.0594099999999997
81340100060311,2.06442,0.63842,387.289978,85,78.09495170403196,Noatak,2.06442
81340100060321,1.98419,0.7250599999999998,426.270197,85,78.29155360948108,Noatak,2.0698350000000003
81340100060331,2.028715,0.686305,426.379861,84,78.50479515597125,Noatak,2.0698350000000003
81340100060341,2.009615,0.6550750000000001,479.3597165,86,78.7166989580094,Noatak,2.07412
81340100060351,2.0698350000000003,0.65439,618.8755735,88,78.91076394679824,Noatak,2.07412
81340100060361,2.0594099999999997,0.5779949999999999,494.3209215,92,79.115919781982,Noatak,2.13537
81340100060371,2.21522,0.597995,647.4595695,88,79.31682554884827,Noatak,2.21522
81340100060381,2.240415,0.60325,609.6734994999999,88,79.49773545975806,Noatak,2.240415
81340100060391,2.27988,0.5736199999999999,678.743071,92,79.69793934105337,Noatak,2.27988
81340100060401,2.33612,0.5524799999999996,631.333449,95,79.90752749956256,Noatak,2.33612
81340100060411,2.42846,0.6656199999999999,357.56833,93,80.11513825190254,Noatak,2.42846
81340100060421,2.5002500000000003,0.7126899999999999,333.385358,88,80.32494557202492,Noatak,2.4903500000000003
81340100060431,2.4903500000000003,0.6080750000000003,324.5269635,84,80.52470277926722,Noatak,2.5002500000000003
81340100060441,2.51457,0.5276999999999998,333.894736,79,80.72531841290139,Noatak,2.50156
81340100060451,2.50156,0.560305,384.96497050000005,76,80.91979675330288,Noatak,2.51457
81340100060461,2.54514,0.58466,332.061913,77,81.1208642799623,Noatak,2.54514
