reach_id,x,y,x_min,x_max,y_min,y_max,reach_length,n_nodes,wse,width,slope,facc,dist_out,type,lakeflag,swot_obs,n_chan_max,n_chan_mod,max_width,low_slope_flag,stream_order,main_path_id,is_mainstem,path_order,end_reach,n_rch_up,n_rch_down,river_name,river,dist_out_km
81320300011,-160.29778040190644,66.95407168640527,-160.42289639306767,-160.17329576024278,66.95059376916375,66.96481027899813,11468.27630868199,57,0.0,716.0,0.0,26279.3923,111977.69635027614,1,0,6,4,3,5420.0,0,3,7000490,1,27,0,1,1,NODATA,Kobuk,111.97769635027613
81320100113,-160.4466503283005,66.94916258182077,-160.468902286817,-160.42359866966154,66.94404881838081,66.9560358258016,2545.603143756212,13,0.0,600.0,0.0,31314.5319,100509.42004159781,1,0,6,3,2,5420.0,0,4,7000490,1,70,3,2,1,NODATA,Kobuk,100.5094200415978
81320100101,-160.5053956397668,66.9379196982149,-160.5315284558789,-160.46958851876892,66.92445291038149,66.94427970593938,3771.7507586558568,19,0.0,503.0,0.0,31314.5319,97963.81689784469,1,0,5,4,1,4295.0,0,4,7000490,1,69,0,1,1,NODATA,Kobuk,97.9638168978447
81320100091,-160.55621633072894,66.91892111704665,-160.58019210419926,-160.53220061953684,66.91310064473649,66.92423107599771,2464.0751385811923,12,0.0,664.5,0.0,31314.5319,94192.06613918804,1,0,4,3,2,1602.0,0,4,7000490,1,66,0,1,1,NODATA,Kobuk,94.19206613918804
81320100083,-160.5976861701076,66.90797624263627,-160.61461730103994,-160.58086699247926,66.90478594622009,66.91293240814063,1786.5110890571045,9,0.0,969.0,0.0,31314.5319,91727.99100060949,3,3,4,4,2,3216.0,0,4,7000490,1,64,0,1,1,NODATA,Kobuk,91.72799100060949
81320100071,-160.62765592258538,66.9049842504922,-160.6400300501939,-160.61530593848988,66.9047931832617,66.90550134953797,1092.7147583558917,5,0.0,600.0,0.0,31314.5319,89941.47991155357,1,0,4,3,3,3216.0,0,4,7000490,1,63,0,1,1,NODATA,Kobuk,89.94147991155357
81320100061,-160.6751875762126,66.90333086181509,-160.7096591536422,-160.64071875487278,66.90074852728078,66.90568110776042,3103.1313611103315,16,0.0,841.0,0.0,31314.5319,88848.76515319778,1,0,4,4,2,5098.0,0,4,7000490,1,62,0,1,1,NODATA,Kobuk,88.84876515319777
81320100051,-160.72521933404016,66.90314257144513,-160.74012191124365,-160.71035162885448,66.90130567524051,66.90545051840478,1393.6326068123617,7,0.0,705.5,0.0,31314.5319,85745.63379208365,1,0,4,3,2,5341.0,0,4,7000490,1,60,0,1,1,NODATA,Kobuk,85.74563379208365
81320100041,-160.76243531479832,66.90589343435612,-160.78383123811406,-160.7408146299279,66.9031342587324,66.90748256110676,2024.4484582995556,10,0.0,610.5,0.0,31314.5319,84352.00118527083,1,0,4,4,2,7207.0,0,4,7000490,1,58,3,1,2,NODATA,Kobuk,84.35200118527082
81320100035,-160.89145634073253,66.88697055726992,-160.94105529934197,-160.78451621508208,66.84843137396732,66.90312655150085,12357.003155280205,62,0.0,439.0,0.013640145063769569,23339.6936,82327.55272697161,5,3,5,4,1,7467.0,0,4,7000490,1,57,0,1,1,NODATA,Kobuk,82.32755272697162
