river,time,span_km,n_nodes,d_lo,d_hi,length_km
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,16,121.7769673888823,124.75581591270347,2.9788485238211706
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,39,125.16396988898514,135.89658879909612,10.732618910110986
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,19,138.70211777000983,142.91847356130316,4.216355791293324
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,28,143.53135118197187,149.94677719409563,6.41542601212376
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,19,150.72668431095934,154.5041785015012,3.7774941905418586
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,64,154.91171497481537,176.87006369537826,21.958348720562896
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,81,189.26983701507427,272.12501114458615,82.85517412951188
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,205,272.5268177842983,324.93800929813005,52.41119151383174
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,41,326.5367958536207,339.31137769264996,12.774581839029281
Kobuk,2026-08-26 17:59:33+00:00,212.440178848634,10,499.00088811778147,500.8132250975099,1.8123369797284568
Kobuk,2026-08-26 17:59:33+00:00,212.440178848634,32,506.84245576303294,513.0732456391745,6.230789876141557
Kobuk,2026-09-13 07:40:21+00:00,161.61730668884968,13,198.84303703225692,203.21922450688075,4.376187474623833
Kobuk,2026-09-13 07:40:21+00:00,161.61730668884968,13,212.17830779949753,215.0017202880187,2.8234124885211713
Selawik,2023-05-18 04:36:25+00:00,127.50241349334478,155,132.0847610585314,164.50447356161493,32.41971250308353
Selawik,2023-05-19 04:27:03+00:00,130.6940615663333,237,111.14758736915715,164.50447356161493,53.35688619245778
Selawik,2023-05-23 03:49:35+00:00,134.8775836095287,503,31.00972781802649,162.9013208698383,131.8915930518118
Selawik,2023-05-23 03:49:35+00:00,134.8775836095287,14,163.28321684007747,165.8873114275552,2.604094587477732
Selawik,2023-05-24 03:40:13+00:00,135.5010424118099,543,30.386269015745306,162.9013208698383,132.51505185409297
Selawik,2023-05-24 03:40:13+00:00,135.5010424118099,11,163.49253566122692,165.8873114275552,2.39477576632828
