river,shift_km,dt_hr,celerity_ms,corr,n_common,time
Noatak,-1.0,24.009722222222223,0.01156938740093712,0.868469877686015,326,2025-06-12 07:09:19+00:00
Noatak,-97.0,24.008333333333333,1.1222954992479464,0.8931884497904711,642,2025-06-22 05:31:42+00:00
Noatak,1.0,24.01,0.01156925355176084,0.9339700896546042,149,2025-07-06 10:58:10+00:00
Noatak,1.5,24.0075,0.01735568745878024,0.7122346744669591,182,2025-07-23 00:39:04+00:00
Noatak,1.0,24.01,0.01156925355176084,0.9274007199718591,150,2025-07-27 07:43:15+00:00
Noatak,26.0,24.00777777777778,0.30082843522932384,0.7910673609170956,166,2025-08-12 21:24:07+00:00
Noatak,-106.0,24.00861111111111,1.2264118198331617,0.7567079782495877,642,2025-08-23 19:46:57+00:00
Noatak,33.5,24.009166666666665,0.38758344613747064,0.7962369672825764,215,2025-08-26 02:50:04+00:00
Noatak,1.0,24.00888888888889,0.01156978896704924,0.7714157926359129,229,2026-06-04 06:58:51+00:00
Noatak,-92.0,24.00777777777778,1.0644698477345305,0.6112582501809174,640,2026-06-11 22:18:02+00:00
Noatak,1.0,24.009444444444444,0.011569521253210542,0.7897996115509724,220,2026-07-05 02:06:14+00:00
Noatak,2.0,24.00888888888889,0.02313957793409848,0.8166078020656278,229,2026-07-15 00:28:31+00:00
Noatak,2.5,24.009444444444444,0.028923803133026355,0.8064682724216423,222,2026-07-22 15:47:36+00:00
Noatak,-36.5,24.00861111111111,0.42230218324443775,0.7691489841745952,229,2026-08-04 21:13:36+00:00
Noatak,-37.5,24.00861111111111,0.4338721060730525,0.8917481995672208,229,2026-08-05 21:14:07+00:00
Noatak,-1.0,24.009444444444444,0.011569521253210542,0.9366195858610823,221,2026-08-15 19:36:23+00:00
Noatak,12.0,24.009722222222223,0.13883264881124543,0.7001330392743061,130,2026-08-17 19:37:28+00:00
Noatak,-49.5,24.009444444444444,0.5726913020339218,0.8564792767450454,325,2026-08-24 10:55:58+00:00
Noatak,1.0,24.01152777777778,0.011568517436647906,0.7749768487287805,295,2026-08-28 18:00:19+00:00
Noatak,-1.0,24.009444444444444,0.011569521253210542,0.8053421509780304,220,2026-09-05 16:21:28+00:00
Selawik,9.5,23.843888888888888,0.11067359444535055,0.9545544906264647,256,2023-05-18 04:36:25+00:00
Selawik,3.5,23.843888888888888,0.04077448216407652,0.9805276123951162,270,2023-05-23 03:49:35+00:00
Selawik,1.0,23.843888888888888,0.011649852046879005,0.9890546424678951,271,2023-05-30 02:44:00+00:00
Selawik,1.0,23.843888888888888,0.011649852046879005,0.9882581704081339,271,2023-05-31 02:34:38+00:00
Selawik,2.0,23.843611111111112,0.023299975535025687,0.9807285374907091,271,2023-06-01 02:25:16+00:00
Selawik,3.0,23.843888888888888,0.034949556140637016,0.9679826304570146,272,2023-06-02 02:15:53+00:00
Selawik,2.0,23.843888888888888,0.02329970409375801,0.9686700349903548,271,2023-06-03 02:06:31+00:00
Selawik,2.0,23.843888888888888,0.02329970409375801,0.9613122419263606,265,2023-06-04 01:57:09+00:00
Selawik,-1.5,23.843888888888888,0.017474778070318508,0.9350733450421846,265,2023-06-05 01:47:47+00:00
Selawik,3.0,23.843888888888888,0.034949556140637016,0.8052026748125123,273,2023-06-07 01:29:03+00:00
Selawik,4.0,23.843888888888888,0.04659940818751602,0.796929278399187,273,2023-06-08 01:19:41+00:00
Selawik,1.0,23.843611111111112,0.011649987767512844,0.9740082687997289,272,2023-06-09 01:10:19+00:00
Selawik,1.0,23.843611111111112,0.011649987767512844,0.9875045347398834,272,2023-06-12 00:42:12+00:00
Selawik,1.5,23.843888888888888,0.017474778070318508,0.9678256172831935,272,2023-06-13 00:32:49+00:00
Selawik,41.0,23.843888888888888,0.4776439339220392,0.9713499707587523,272,2023-06-14 00:23:27+00:00
Selawik,2.5,23.844166666666666,0.02912429082351845,0.9202050223896375,271,2023-06-18 23:36:36+00:00
